11000023|2269|03042026|00|0|0,00|0,00|0,00|0.00|0|0,00|0,00|0,00|0,00|0,00|0,00|0,00|R
11000023|2269|03042026|01|0|0,00|0,00|0,00|0.00|0|0,00|0,00|0,00|0,00|0,00|0,00|0,00|R
11000023|2269|03042026|02|0|0,00|0,00|0,00|0.00|0|0,00|0,00|0,00|0,00|0,00|0,00|0,00|R
11000023|2269|03042026|03|0|0,00|0,00|0,00|0.00|0|0,00|0,00|0,00|0,00|0,00|0,00|0,00|R
11000023|2269|03042026|04|0|0,00|0,00|0,00|0.00|0|0,00|0,00|0,00|0,00|0,00|0,00|0,00|R
11000023|2269|03042026|05|0|0,00|0,00|0,00|0.00|0|0,00|0,00|0,00|0,00|0,00|0,00|0,00|R
11000023|2269|03042026|06|0|0,00|0,00|0,00|0.00|0|0,00|0,00|0,00|0,00|0,00|0,00|0,00|R
11000023|2269|03042026|07|0|0,00|0,00|0,00|0.00|0|0,00|0,00|0,00|0,00|0,00|0,00|0,00|R
11000023|2269|03042026|08|0|0,00|0,00|0,00|0.00|0|0,00|0,00|0,00|0,00|0,00|0,00|0,00|R
11000023|2269|03042026|09|0|0,00|0,00|0,00|0.00|0|0,00|0,00|0,00|0,00|0,00|0,00|0,00|R
11000023|2269|03042026|10|0|0,00|0,00|0,00|0.00|0|0,00|0,00|0,00|0,00|0,00|0,00|0,00|R
11000023|2269|03042026|11|0|0,00|0,00|0,00|0.00|0|0,00|0,00|0,00|0,00|0,00|0,00|0,00|R
11000023|2269|03042026|12|0|0,00|0,00|0,00|0.00|0|0,00|0,00|0,00|0,00|0,00|0,00|0,00|R
11000023|2269|03042026|13|0|0,00|0,00|0,00|0.00|0|0,00|0,00|0,00|0,00|0,00|0,00|0,00|R
11000023|2269|03042026|14|2|12601010,91|1260101,09|0,00|0.00|2|13861112,00|0,00|0,00|0,00|0,00|0,00|0,00|R
11000023|2269|03042026|15|0|0,00|0,00|0,00|0.00|0|0,00|0,00|0,00|0,00|0,00|0,00|0,00|R
11000023|2269|03042026|16|0|0,00|0,00|0,00|0.00|0|0,00|0,00|0,00|0,00|0,00|0,00|0,00|R
11000023|2269|03042026|17|0|0,00|0,00|0,00|0.00|0|0,00|0,00|0,00|0,00|0,00|0,00|0,00|R
11000023|2269|03042026|18|0|0,00|0,00|0,00|0.00|0|0,00|0,00|0,00|0,00|0,00|0,00|0,00|R
11000023|2269|03042026|19|0|0,00|0,00|0,00|0.00|0|0,00|0,00|0,00|0,00|0,00|0,00|0,00|R
11000023|2269|03042026|20|0|0,00|0,00|0,00|0.00|0|0,00|0,00|0,00|0,00|0,00|0,00|0,00|R
11000023|2269|03042026|21|0|0,00|0,00|0,00|0.00|0|0,00|0,00|0,00|0,00|0,00|0,00|0,00|R
11000023|2269|03042026|22|0|0,00|0,00|0,00|0.00|0|0,00|0,00|0,00|0,00|0,00|0,00|0,00|R
11000023|2269|03042026|23|0|0,00|0,00|0,00|0.00|0|0,00|0,00|0,00|0,00|0,00|0,00|0,00|R
